codigo;nome;POSTO DE SA�DE;CENTRO DE SA�DE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;UNIDADE M�VEL FLUVIAL;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE M�VEL TERRESTRE;UNIDADE M�VEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SA�DE;COOPERATIVA OU EMPRESA DE CESS�O DE TRABALHADORES NA SA�DE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;LABORATORIO CENTRAL DE SA�DE PUBLICA LACEN;CENTRAL DE GEST�O EM SA�DE;CENTRO DE ATEN��O HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATEN��O PSICOSSOCIAL;CENTRO DE APOIO A SA�DE DA FAMILIA;UNIDADE DE ATEN��O A SA�DE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SA�DE;TELESSA�DE;CENTRAL DE REGULA��O MEDICA DAS URGENCIAS;SERVICO DE ATEN��O DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATEN��O EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SA�DE PUBLICA;CENTRAL DE REGULA��O DO ACESSO;"CENTRAL DE NOTIFICA��O,CAPTA��O E DISTRIB DE ORG�OS ESTADUAL";POLO DE PREVEN��O DE DOENCAS E AGRAVOS E PROMO��O DA SA�DE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZA��O;Total
270480;MARIBONDO;0;6;0;0;0;0;0;0;0;0;3;4;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
270490;MAR VERMELHO;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4
270500;MATA GRANDE;0;6;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;12
270510;MATRIZ DE CAMARAGIBE;0;9;0;1;0;0;0;0;1;0;3;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
270520;MESSIAS;0;6;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
270530;MINADOR DO NEGRAO;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6
270540;MONTEIROPOLIS;2;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;11
270550;MURICI;0;11;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
270560;NOVO LINO;0;5;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;12
270570;OLHO D'AGUA DAS FLORES;0;8;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;15
270580;OLHO D'AGUA DO CASADO;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
270590;OLHO D'AGUA GRANDE;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8
270600;OLIVENCA;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;11
270610;OURO BRANCO;2;4;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
270620;PALESTINA;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
270630;PALMEIRA DOS INDIOS;0;23;3;1;0;0;0;0;23;0;19;13;0;1;1;0;0;0;0;0;1;0;2;0;1;1;1;0;0;0;0;0;0;1;0;0;3;0;94
270640;PAO DE ACUCAR;4;9;2;0;0;1;0;0;0;0;4;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;26
270642;PARICONHA;4;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;17
270644;PARIPUEIRA;0;4;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;11
270650;PASSO DE CAMARAGIBE;0;7;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14
270660;PAULO JACINTO;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
270670;PENEDO;0;20;1;1;1;0;0;0;36;0;15;13;0;3;1;0;0;0;0;0;1;0;1;2;0;1;3;0;0;0;0;0;0;0;0;0;1;0;100
270680;PIACABUCU;2;7;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;18
270690;PILAR;0;13;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;23
270700;PINDOBA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
270710;PIRANHAS;0;6;0;1;0;0;0;0;8;0;8;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;33
270720;POCO DAS TRINCHEIRAS;7;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;17
270730;PORTO CALVO;0;11;2;2;0;0;0;0;0;0;2;4;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;25
270740;PORTO DE PEDRAS;2;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
270750;PORTO REAL DO COLEGIO;0;9;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;18
270760;QUEBRANGULO;3;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;13
270770;RIO LARGO;0;24;2;1;0;0;0;0;4;0;4;6;0;2;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;49
270780;ROTEIRO;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;6
270790;SANTA LUZIA DO NORTE;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
270800;SANTANA DO IPANEMA;0;16;5;1;0;0;0;0;12;0;9;5;1;2;2;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;60
270810;SANTANA DO MUNDAU;0;5;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11
270820;SAO BRAS;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11
270830;SAO JOSE DA LAJE;0;11;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;19
